question,a,b,c,d,answer,source,id
"An elderly, hypeensive patient presented with sudden onset headache, vomiting, neck rigidity without focal neurological deficit. Diagnosis:",Subarachnoid hemorrhage,Ischemic stroke,Subdural hemorrhage,Meningitis,0,MEDMCQA,933
Specific for Ankylosing spondylitis is true?,HLA,B27,Sacroileitis,Raised ESR,2,MEDMCQA,934
Intensifying screen is used in extraoral radiograph to:,Decrease radiation to patient,Increase contrast,Decrease contrast,Collimation,0,MEDMCQA,935
"When there is a prematurity in centric occlusion but not
in eccentric or other movements then reduce;",Cusps of opposing teeth,Mesiodistal position of teeth,Opposing fassa or marginal ridge,None of the above,2,MEDMCQA,936
All are true about use of articaine in a child except,It's an amide which is metabolised in both plasma and liver,Plasma half-life is 90 min,Infiltration produces adequate anaesthesia in primary molar so need for block anesthesia is eliminated,More breakdown cause less toxicity,1,MEDMCQA,937
Normally seen in lumbar spine?,Scoliosis,Lordosis,Kyphosis,Kyphosis,1,MEDMCQA,938
"Sequence of treatment in patient with caries in relation to 51, 52, 61 & 62:",History taking-oral care assessment-caries risk assessment-diet counseling-restoration-fluoride application,History taking-oral care assessment-caries risk assessment-diet counseling-fluoride application-restoration,History taking-caries risk assessment- oral care assessment–diet counseling -restoration-fluoride application,History taking-oral care assessment  caries risk assessment-restoration-fluoride application diet counseling,1,MEDMCQA,939
Preconceptional intake of which of the following results in decrease in incidence of neural tube defect:,Vitamin A,Folate,Vitamin E,Vitamin C,1,MEDMCQA,940
"In a patient of oral & maxillofacial trauma, cervical injury is not ruled out, intubation of preference will be:",LMA,Combitube,Normal laryngoscopy & endotracheal intubation,Fiberoptic intubation,3,MEDMCQA,941
"Among the following propeies of dopamine, which of them is not helpful in acute shock?",Alpha-1 agonist action leading to peripheral vasoconstriction,Increase in renal perfusion due to agonist action on DI receptors,Releases noradrenaline and causes positive inotropic effect,Direct action on hea beta-1 receptors,1,MEDMCQA,942
Replacing amino acid will not change its functions,Glutamine to Asparagine,Aspaate and Glutamate,Alanine to tryptophan,None of these,0,MEDMCQA,943
"A 40 years old female currently on a drug for psychiatric illness and hypeension presents with NYHA class III hea failure with dyspnea, pedal edema and K+ levels of 5.5 mEq/L and creatinine 2.5 mg%. Which of the following drug is best avoided?",Carvedilol,Enalapril,Spironolactone,Digoxin,2,MEDMCQA,944
"A 38-years old patient who had a total abdominal hysterectomy presents 2 months postop complaining of leakage of urine from the vagina. On examination, no fistula can be identified. Dilute methylene blue (100mL) is injected into the bladder through a Foley catheter and a tampon is placed in the vagina. The patient is asked to walk for about 15 minutes, after which the patient is found to be wet, but there is no blue stain anywhere on the tampon. Which of the following is true:-","100mL was probably not enough methylene blue, and the test should be repeated with a higher volume",The patient probably has stress incontinence not a fistula,The patient probably has a ureterovaginal fistula,The patient most likely has small apical vesicovaginal fistula that was too small to leak the dye in 15 minutes,2,MEDMCQA,945
Brachytherapy is:,Irradiation of tissues from a distance,Irradiation of tissues from a distance of 3 cm,Irradiation of tissues by implants within the tissues,Irradiation of tissues by radiopharmaceuticals,2,MEDMCQA,946
Which of the following hormones will be affected most after the change in sex hormone binding globulin?,Testosterone,Estrogen,Progesterone,DHEA,0,MEDMCQA,947
A man throws sulphuric acid on the face of his wife after a fight following which she comes to the emergency for suppoive management. All of these statements are true about chemical burns except:,Blisters are present,Ulcerated patches are present,Absence of singeing of hairs,Coagulation necrosis occurs at the site of burn,0,MEDMCQA,948
Following renal disorder is associated with worst pregnancy outcome:,Systemic lupus erythromatosus,IgA nephropathy,Autosomal dominant polycystic kidney disease,Scleroderma,3,MEDMCQA,949
MB2 (In maxillary first molar)can be seen through Dental operating microscope in what percentage of cases,90-95%,70-85%,62-70%,30-40%,0,MEDMCQA,950
Which of the following is used to denote a continuous variable?,Simple bar,Histogram,Pie diagram,Multiple bar,1,MEDMCQA,951
Ritonavir inhibits metabolism of all of the following drugs except:,Amiodarone,Phenytoin,Cisapride,Midazolam,1,MEDMCQA,952
What will be treatment plan for a parasymphysial fracture in a 55 year old man.,IMF for 3 weeks,IMF for 6 weeks,Compression plate is must,Non union will occur if reconstruction plate is not given,1,MEDMCQA,953
"A neonate is being investigated for jaundice. A liver biopsy shows features of a ""Giant Cell/Neonatal hepatitis"". Which one of the following conditions usually results in this case –",Congenital hepatic fibrosis,Hemochromatosis,Alpha–1–antitrypsin deficiency,Glycogen storage disease Type 1,2,MEDMCQA,954
Infeility in kaagener syndrome is due to which of the following?,Oligospermia,Blockage of epididymis,Asthenozoospermia,Undescended testis,2,MEDMCQA,955
For testing the statistical significance of the difference in heights of school children among three socio economic groups the most appropriate statistical test is:,Student's 't' test,Chi-squared test,Paired 't' test,One way analysis of variance (one way ANOVA),3,MEDMCQA,956
Disadvantages of grids are:,Skin exposure of patient,Increase exposure time,Doesn't improve image,Overall density of radiograph is increased,1,MEDMCQA,957
"In class II malocclusion, ANB angle is",Greater than normal,Less than normal,Not altered,None of the above,0,MEDMCQA,958
Kraissl's lines arc:,Collagen and elastin lines in stab wounds,Point of maximum tension in a fracture,Point of tension in hanging,Relaxed tension lines in skin,3,MEDMCQA,959
Which of the following anticholinergic agent does not cross the blood brain barrier?,Glycopyrrolate,Atropine,Hyoscine butylbromide,Hyoscine hydrobromide,3,MEDMCQA,960
"About depersonalization, which of the following is false:",More common in females than male,Common in patients with seizure and migraine,Common with post life threatening accidents,Reality testing is lost,3,MEDMCQA,961
Which of the following is not a branch of external carotid artery,Posterior auricular artery,Occipital artery,Maxillary artery,Ophthalmic artery,3,MEDMCQA,962
Maximum infective stage of hepatitis B is,HBsAg,HBe Ag,HBc Ag,Anti-HBs,1,MEDMCQA,963
A youthful feminine smile have all the characteristics except?,Golden proportion is followed,Closure of incisor embrasure,Rounding of incisal line angles,Softened facial line angles,1,MEDMCQA,964
If sodium channel inactivation is prolonged then which property of nerve conduction is hampered?,Decreased relative refractory period,Increased conduction blockade,Increased upward stroke velocity,Decreased downward stroke velocity of refractory period.,2,MEDMCQA,965
Square knot is composed of:,Two single loops thrown in opposite direction,Two double loops thrown in opposite direction,Two single loops thrown in same direction,Two double loops thrown in Same direction,0,MEDMCQA,966
Which one of the following is penicillinase resistant penicillin:,Amoxycillin,Cloxacillin,Ampicillin,Penicillin G,1,MEDMCQA,967
"Peau d'Orange of breast is due to:September 2005, 2010, March 2007",Obstruction of Vein,Obstruction of lymphatic ducts.,Obstruction of glandular ducts,Obstruction of aeries,1,MEDMCQA,968
In dental materials setting time is measured by which test,Rockwell test,Cold blend test,Vickers test,Vicat needle method,3,MEDMCQA,969
All of the following are structures in the lateral wall of cavernous sinus except:,Occulomotor nerve,Ophthalmic nerve,Optic chiasma,Maxillary nerve,2,MEDMCQA,970
Aspirin acts on which part of brain?,Substantia gelatinosa,Limbic system,Medulla,Cortex,0,MEDMCQA,971
"Marked reduction in amount of dentin, widening of predentin layer, presence of large area of interglobular dentin and irregular pattern of dentin is seen in",Hypocalcified dentin,Odonto dysplasia,Dentin dysplasia,Dentinogenesis imperfecta,1,MEDMCQA,972
Most difficult access cavity preparation is in,Mandibular incisors,Mandibular Canine,Mandibular premolar,Mandibular molar,0,MEDMCQA,973
Culture media of candida is:,Methylene blue dextrose agar,Saboraud's medium,Pingolevin,All of the above,1,MEDMCQA,974
"A 56-year-old female presents with nocturnal pain in the right thumb, index and middle finger for the past 3 months. All of the following provocative tests can be performed for the diagnosis of the condition except :",Phalen's test,Finkelstein test,Tinel's sign,Tourniquet test,1,MEDMCQA,975
What processing should be done of the blood before transfusion to reduce chances of febrile non-hemolytic transfusion reaction (FNHTR)?,Irradiation,Washing,Leucocyte reduction,Glycolisation,2,MEDMCQA,976
Sensory nerve supply of capsule of TMJ is?,Auriculotemporal nerve,Facial nerve,Massetric nerve,Auricular nerve,0,MEDMCQA,977
Robinson's classification of ameloblastoma does not include:,Multicentric,Non-functional,Anatomically benign,Clinically persistent,0,MEDMCQA,978
A child present with recurrent sinusitis and recurrent chest infections. Chest X–ray reveals dextrocardia and situs invertus. The diagnosis is –,Kartagener's syndrome,Good–pasture's syndrome,Ehlers–Danlos syndrome,William Campbell syndrome,0,MEDMCQA,979
Heavy forces on periodontal ligament causes:,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,0,MEDMCQA,980
Hyalinization in orthodontic movement means:,A cell free zone histologically similar to hyaline appearance,Change to hyaline cartilage,Lamina dura converts into hyaline cartilage,Periodontal Ligament changes to hyaline cartilage,0,MEDMCQA,981
Which of the following type of collagen is present in healing and granulation tissue?,Type I,Type II,Type III,Type IV,2,MEDMCQA,982
False regarding protective co-contraction muscle splinting:,Reduced mouth opening due to infection,Protective co-contraction is not a pathologic condition,"There is no pain reported when the muscle is at rest, but use of the muscle will typically result in increased pain.","Altered sensory input or pain, antagonistic muscle groups fire during movement in an attempt to protect the injured part.",0,MEDMCQA,983
Annealing is also known as:,Soft hardening treatment,Hard hardening treatment,Precipitating heat treatment,Stress relieving heat treatment,0,MEDMCQA,984
Calcium ions triggers muscle contraction by binding to:,Actin,Myosin,Troponin,Tropomyosin,2,MEDMCQA,985
ADA specification of orthodontic wire:,29,25,32,30,2,MEDMCQA,986
The trivalent influenza vaccine contains all of the following strains except:,H IN I,H3N2,H2N 1,Influenza B,2,MEDMCQA,987
Occluded submandibular salivary duct can be best observed by,Palpation,Sialography,Occlusal X-ray,Thermography,1,MEDMCQA,988
Chronic carrier state is seen in all except,Measles,Diptheria,Typhoid,Gonorrhea,0,MEDMCQA,989
"A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause?",Hypothyroidism,Beckwith widman syndrome,Proteus syndrome,Hurler syndrome,3,MEDMCQA,990
Children with germline retinoblastoma are more likely to develop other primary malignancies in their later lifetime course. Which of the following malignancy can occur in such patients?,Osteosarcoma of lower limbs,Thyroid carcinoma,Seminoma,Renal cell carcinoma,0,MEDMCQA,991
A patient requires 180 mg ceftriaxone. The l contains 500 mg/5ml of ceftriaxone. You have a 2 ml syringe with l0 divisions per ml. How many divisions in the 2 ml syringe will you fill to give 180 mg ceftriaxone?,9,18,l0,12,1,MEDMCQA,992
